'Active'	'Destination Name'	'Carrier Prefix'	'Dial Prefix'	'Full Prefix (do not edit)'	'Exact Match'
'T'	'PC2PC'		'PC'	'PC'	'F'
'T'	'Australia'	'00'	61	'0061'	'F'
'T'	'Australia - Mobiles'	'00'	611	'00611'	'F'
'T'	'Australia - Mobiles'	'00'	614	'00614'	'F'
'T'	'Australia - Mobiles'	'00'	615	'00615'	'F'
'T'	'Australia - Mobiles'	'00'	6108	'006108'	'F'
'T'	'Australia - Mobiles'	'00'	6171	'006171'	'F'
'T'	'Australia - Mobiles'	'00'	6178	'006178'	'F'
'T'	'Australia - Mobiles'	'00'	6179	'006179'	'F'
'T'	'Australia - Mobiles'	'00'	61071	'0061071'	'F'
'T'	'Germany'	'00'	'492'	'00492'	'F'
'T'	'Germany'	'00'	'493'	'00493'	'F'
'T'	'Germany'	'00'	'494'	'00494'	'F'
'T'	'Germany'	'00'	'495'	'00495'	'F'
'T'	'Germany'	'00'	'496'	'00496'	'F'
'T'	'Germany'	'00'	'497'	'00497'	'F'
'T'	'Germany'	'00'	'498'	'00498'	'F'
'F'	'Germany'	'00'	'49801'	'0049801'	'F'
'F'	'Germany'	'00'	'49802'	'0049802'	'F'
'T'	'Germany'	'00'	'499'	'00499'	'F'
'F'	'Germany'	'00'	'49901'	'0049901'	'F'
'F'	'Germany'	'00'	'49902'	'0049902'	'F'
'F'	'Germany'	'00'	'49903'	'0049903'	'F'
'F'	'Germany'	'00'	'49904'	'0049904'	'F'
'F'	'Germany'	'00'	'49905'	'0049905'	'F'
'F'	'Germany - Premium'	'00'	'49190'	'0049190'	'F'
'F'	'Germany - Premium'	'00'	'49900'	'0049900'	'F'
'T'	'Germany - Mobiles'	'00'	'4915'	'004915'	'F'
'T'	'Germany - Mobiles'	'00'	'4916'	'004916'	'F'
'T'	'Germany - Mobiles'	'00'	'4917'	'004917'	'F'
'T'	'Germany - Mobiles'	'00'	'49700'	'0049700'	'F'
'T'	'Germany - Mobiles'	'00'	'49701'	'0049701'	'F'
'F'	'Germany - Special'	'00'	'49180'	'0049180'	'F'
'F'	'Germany - Special'	'00'	'49800'	'0049800'	'F'
'T'	'Poland'	'00'	'481'	'00481'	'F'
'F'	'Poland'	'00'	'4819'	'004819'	'F'
'T'	'Poland'	'00'	'482'	'00482'	'F'
'F'	'Poland'	'00'	'4820'	'004820'	'F'
'F'	'Poland'	'00'	'4821'	'004821'	'F'
'F'	'Poland'	'00'	'4826'	'004826'	'F'
'F'	'Poland'	'00'	'4827'	'004827'	'F'
'F'	'Poland'	'00'	'4828'	'004828'	'F'
'T'	'Poland'	'00'	'4832'	'004832'	'F'
'T'	'Poland'	'00'	'4833'	'004833'	'F'
'T'	'Poland'	'00'	'4834'	'004834'	'F'
'T'	'Poland'	'00'	'484'	'00484'	'F'
'F'	'Poland'	'00'	'4840'	'004840'	'F'
'F'	'Poland'	'00'	'4845'	'004845'	'F'
'F'	'Poland'	'00'	'4847'	'004847'	'F'
'F'	'Poland'	'00'	'4849'	'004849'	'F'
'T'	'Poland'	'00'	'485'	'00485'	'F'
'F'	'Poland'	'00'	'4853'	'004853'	'F'
'F'	'Poland'	'00'	'4857'	'004857'	'F'
'T'	'Poland'	'00'	'486'	'00486'	'F'
'F'	'Poland'	'00'	'4864'	'004864'	'F'
'F'	'Poland'	'00'	'4866'	'004866'	'F'
'T'	'Poland'	'00'	'487'	'00487'	'F'
'F'	'Poland'	'00'	'4873'	'004873'	'F'
'T'	'Poland'	'00'	'488'	'00488'	'F'
'F'	'Poland'	'00'	'4888'	'004888'	'F'
'T'	'Poland'	'00'	'4891'	'004891'	'F'
'T'	'Poland'	'00'	'4894'	'004894'	'F'
'T'	'Poland'	'00'	'4895'	'004895'	'F'
'F'	'Poland - Premium'	'00'	'4870'	'004870'	'F'
'T'	'Poland - Mobiles'	'00'	'4850'	'004850'	'F'
'T'	'Poland - Mobiles'	'00'	'4851'	'004851'	'F'
'T'	'Poland - Mobiles'	'00'	'4860'	'004860'	'F'
'T'	'Poland - Mobiles'	'00'	'4869'	'004869'	'F'
'T'	'Poland - Mobiles'	'00'	'4890'	'004890'	'F'
'F'	'Poland - Special'	'00'	'4810'	'004810'	'F'
'F'	'Poland - Special'	'00'	'4811'	'004811'	'F'
'F'	'Poland - Special'	'00'	'4880'	'004880'	'F'
'F'	'Poland - UMTS'	'00'	'4878'	'004878'	'F'
'F'	'Poland - UMTS'	'00'	'4879'	'004879'	'F'
