T	PC	VoIP
T	0048	Poland
T	004850	Poland - Mobile
T	004851	Poland - Mobile
T	004860	Poland - Mobile
T	004869	Poland - Mobile
T	004890	Poland - Mobile
F	004870	Poland - Premium
T	0049	Germany
T	004915	Germany - Mobile
T	004916	Germany - Mobile
T	004917	Germany - Mobile
F	0049800	Germany - Special
F	0049180	Germany - Special
F	0049900	Germany - Premium
F	0049190	Germany - Premium
T	0044	United Kingdom
T	004477	United Kingdom - Mobile
T	004478	United Kingdom - Mobile
T	004479	United Kingdom - Mobile
T	001	USA
